"record_type","id","title","original_hash","new_hash","changed_fields","source_ids_before","source_ids_after","source_or_license_issue_removed","production_eligible","review_status"
"knowledge_card","OS-GI-001","犬突然出现轻度腹泻","","c830b806740e3fe005708e42b9fdb948cbd56485bb654786df640745ea79803a","evidence","PMC12156985|PMC7465157","PMC12156985|PMC7465157","false","false","pending"
"knowledge_card","OS-GI-002","犬腹泻时需要记录哪些信息","","1fa671f6275abc0408fb2f526a73464caec26cda4b4efbb66c259f6f7aacb6ac","evidence","PMC12156985","PMC12156985","false","false","pending"
"knowledge_card","OS-GI-003","犬腹泻是否可以自行用抗生素","","a127e98acea2922a5fdb51a3f142edc745f39cdb50bdce1b2bcc01753eeee0b6","evidence","PMC12156985|PMC7465157","PMC12156985|PMC7465157","false","false","pending"
"knowledge_card","OS-RESP-001","猫打喷嚏并有鼻眼分泌物","","ade909e605d74538d2df7a0c193debce606b7a8bffe815825d7776b386170d71","evidence","PMC5354050","PMC11405337","true","false","pending"
"knowledge_card","OS-RESP-002","犬持续咳嗽","","54695366b7a95c766526c089044ac62b31d60013f372ffed78595aedf3fe17d2","evidence","PMC5354050","PMC6483346","true","false","pending"
"knowledge_card","OS-RESP-003","猫狗呼吸道症状是否需要抗生素","","7a122f2b0089f2e60780a4a1bd85bb0af49e32ca4f9a4b3d53df53effcc31927","evidence","PMC5354050","PMC11405337|PMC6483346","true","false","pending"
"knowledge_card","OS-EAR-001","犬频繁抓耳或甩头","","537e919c2d19332d9d3fb589354817a383451d1dede5fd686fcbbc2ae8e69cd4","evidence","PMC8422687","PMC8422687","false","false","pending"
"knowledge_card","OS-EAR-002","犬耳朵异味和分泌物","","8ff5d075fd0e4c1c88e97602bda010c5efa37860fb236e09594c2dbc3f5548b9","evidence","PMC8422687","PMC8422687","false","false","pending"
"knowledge_card","OS-EAR-003","猫耳朵很脏并抓挠","","893943032ae34bdbbcf4736aa6b5a60b61fff248629511d9107d8d9f000a7885","evidence","PMC7830180","PMC12983938","true","false","pending"
"knowledge_card","OS-ORAL-001","猫口臭","","58fcf02849d19e0a90de418b2bebf7aa3999cb6025e509ac24fdce01faf07050","evidence","PMC12665832|PMC8469879","PMC8469879","true","false","pending"
"knowledge_card","OS-ORAL-002","猫牙齿有牙结石","","01530ec7ee26e4477ddc6c5a1cf474537c6f633bc6ee0a5b353b6f1169175177","evidence","PMC12665832|PMC8469879","PMC8469879","true","false","pending"
"knowledge_card","OS-ORAL-003","犬牙龈红和口臭","","69328f1471e5496826cd86ee1fe9c1512955f45d303f4a0343cd2dcd9d8be973","evidence","PMC9774197","PMC9774197","false","false","pending"
"knowledge_card","OS-ORAL-004","猫可能出现口腔疼痛的表现","","d0be8649b20d83f381f5142ccb35ca93ca9535164018afade2b094264b628e6a","evidence","PMC12665832","PMC7146962","true","false","pending"
"knowledge_card","OS-MSK-001","犬起身僵硬或活动减少","","a89606f74d73bf7d1f4360915c7035851962645b76f2ca5d05a3c1fec77f6ab7","evidence","PMC9499673","PMC9499673","false","false","pending"
