card_id,title,changed_fields
OS-GI-002,犬腹泻时需要记录哪些信息,questions_to_ask
OS-GI-003,犬腹泻是否可以自行用抗生素,questions_to_ask；safe_next_step
OS-RESP-001,猫打喷嚏并有鼻眼分泌物,questions_to_ask；safe_next_step；red_flags
OS-RESP-002,犬持续咳嗽,questions_to_ask；safe_next_step
OS-RESP-003,猫狗呼吸道症状是否需要抗生素,safe_next_step
OS-EAR-001,犬频繁抓耳或甩头,questions_to_ask；safe_next_step
OS-EAR-002,犬耳朵异味和分泌物,questions_to_ask；safe_next_step
OS-EAR-003,猫耳朵很脏并抓挠,questions_to_ask；safe_next_step
OS-ORAL-001,猫口臭,questions_to_ask；safe_next_step
OS-ORAL-002,猫牙齿有牙结石,questions_to_ask；safe_next_step
OS-ORAL-003,犬牙龈红和口臭,questions_to_ask；safe_next_step
OS-ORAL-004,猫可能出现口腔疼痛的表现,questions_to_ask；safe_next_step
OS-MSK-001,犬起身僵硬或活动减少,questions_to_ask；safe_next_step
OS-MSK-002,猫减少跳跃,questions_to_ask；safe_next_step
OS-MSK-003,老年猫狗活动变化需要记录什么,questions_to_ask；safe_next_step
OS-UR-001,猫频繁进猫砂盆但尿量很少,safe_next_step
OS-UR-002,猫尿中带血,questions_to_ask
OS-SKIN-001,犬反复瘙痒,questions_to_ask；safe_next_step
OS-SKIN-003,猫狗局部脱毛不能只凭照片判断,questions_to_ask；safe_next_step
OS-BEH-001,猫到新环境后躲藏,safe_next_step
OS-BEH-002,室内猫环境丰富化,safe_next_step
OS-VAX-001,幼猫幼犬疫苗计划,safe_next_step
OS-VAX-002,猫注射部位出现肿块,questions_to_ask；safe_next_step
OS-EYE-002,犬突然视力下降,safe_next_step
MVP-GI-001,猫反复腹泻需排查寄生虫和其他病因,questions_to_ask；safe_next_step
MVP-GI-002,犬偶发一次呕吐,questions_to_ask
MVP-GI-003,犬反复呕吐,questions_to_ask；safe_next_step；red_flags
MVP-GI-004,猫偶发呕吐需要观察什么,questions_to_ask；safe_next_step
MVP-GI-005,猫反复呕吐不能只按毛球处理,questions_to_ask；safe_next_step
MVP-GI-006,猫反复吐出毛发也需要评估,questions_to_ask；safe_next_step；red_flags
MVP-GI-007,猫排便困难或便秘,safe_next_step
MVP-GI-008,犬反复吞咽或进食后反流,questions_to_ask；safe_next_step
MVP-GI-009,区分呕吐和反流,questions_to_ask；safe_next_step；red_flags
MVP-GI-010,猫食欲突然下降,questions_to_ask；safe_next_step
MVP-GI-014,犬换粮后出现软便,questions_to_ask
MVP-NUT-001,判断猫是否超重,questions_to_ask；safe_next_step
MVP-NUT-002,判断犬是否超重,questions_to_ask；safe_next_step
MVP-NUT-003,猫安全减重原则,safe_next_step
MVP-NUT-004,猫零食会不会影响体重,questions_to_ask；safe_next_step；red_flags
MVP-NUT-005,猫突然挑食,questions_to_ask；safe_next_step
MVP-NUT-006,犬突然挑食,questions_to_ask；safe_next_step
MVP-NUT-007,犬猫生食的风险,user_phrases；owner_observable_signs；questions_to_ask；safe_next_step；red_flags
MVP-NUT-009,监测饮水量变化,questions_to_ask
MVP-NUT-010,选择主食和换粮记录,owner_observable_signs；questions_to_ask；safe_next_step
MVP-PAR-001,猫身上发现跳蚤或黑色颗粒,questions_to_ask；safe_next_step
MVP-PAR-002,犬身上发现跳蚤,questions_to_ask；safe_next_step
MVP-PAR-003,犬猫身上发现蜱虫,questions_to_ask；safe_next_step
MVP-PAR-004,选择驱虫产品不能只看品牌,owner_observable_signs；questions_to_ask；safe_next_step
MVP-PAR-005,驱虫频率需要个体化,owner_observable_signs；questions_to_ask；safe_next_step
MVP-PAR-007,多宠家庭疑似耳螨,safe_next_step
MVP-PAR-008,清理宠物粪便与人宠共患风险,owner_observable_signs；safe_next_step
