card_id,title,changed_fields
OS-GI-001,犬突然出现轻度腹泻,user_phrases；retrieval_text
OS-GI-002,犬腹泻时需要记录哪些信息,user_phrases；retrieval_text
OS-GI-003,犬腹泻是否可以自行用抗生素,user_phrases；retrieval_text
OS-RESP-001,猫打喷嚏并有鼻眼分泌物,user_phrases；retrieval_text
OS-RESP-002,犬持续咳嗽,user_phrases；retrieval_text
OS-RESP-003,猫狗呼吸道症状是否需要抗生素,user_phrases；retrieval_text
OS-EAR-001,犬频繁抓耳或甩头,user_phrases；retrieval_text
OS-EAR-002,犬耳朵异味和分泌物,user_phrases；retrieval_text
OS-EAR-003,猫耳朵很脏并抓挠,user_phrases；retrieval_text
OS-ORAL-001,猫口臭,retrieval_text
OS-ORAL-002,猫牙齿有牙结石,user_phrases；retrieval_text
OS-ORAL-003,犬牙龈红和口臭,retrieval_text
OS-ORAL-004,猫可能出现口腔疼痛的表现,retrieval_text
OS-MSK-001,犬起身僵硬或活动减少,retrieval_text
OS-MSK-002,猫减少跳跃,user_phrases；retrieval_text
OS-MSK-003,老年猫狗活动变化需要记录什么,retrieval_text
OS-UR-001,猫频繁进猫砂盆但尿量很少,user_phrases；retrieval_text
OS-UR-002,猫尿中带血,user_phrases；retrieval_text
OS-UR-003,猫尿道阻塞风险,user_phrases；retrieval_text
OS-SKIN-001,犬反复瘙痒,user_phrases；retrieval_text
OS-SKIN-002,犬舔爪和耳朵反复不适,user_phrases；retrieval_text
OS-SKIN-003,猫狗局部脱毛不能只凭照片判断,user_phrases；retrieval_text
OS-BEH-001,猫到新环境后躲藏,user_phrases；retrieval_text
OS-BEH-002,室内猫环境丰富化,retrieval_text
OS-VAX-001,幼猫幼犬疫苗计划,user_phrases；retrieval_text
OS-VAX-002,猫注射部位出现肿块,retrieval_text
OS-EYE-001,犬眼睛突然眯眼、发红或浑浊,retrieval_text
OS-EYE-002,犬突然视力下降,retrieval_text
MVP-GI-001,猫反复腹泻需排查寄生虫和其他病因,user_phrases；retrieval_text
MVP-GI-002,犬偶发一次呕吐,user_phrases；retrieval_text
MVP-GI-003,犬反复呕吐,user_phrases；retrieval_text
MVP-GI-004,猫偶发呕吐需要观察什么,user_phrases；retrieval_text
MVP-GI-005,猫反复呕吐不能只按毛球处理,user_phrases；retrieval_text
MVP-GI-006,猫反复吐出毛发也需要评估,user_phrases；retrieval_text
MVP-GI-007,猫排便困难或便秘,user_phrases；retrieval_text
MVP-GI-008,犬反复吞咽或进食后反流,user_phrases；retrieval_text
